,anchor,image,label
0,all-pics/AJ_Cook_0001.jpg,all-pics/AJ_Lamas_0001.jpg,0
1,all-pics/Aaron_Eckhart_0001.jpg,all-pics/Aaron_Guiel_0001.jpg,0
2,all-pics/Aaron_Patterson_0001.jpg,all-pics/Aaron_Peirsol_0001.jpg,0
3,all-pics/Aaron_Peirsol_0002.jpg,all-pics/Aaron_Peirsol_0003.jpg,1
4,all-pics/Aaron_Peirsol_0004.jpg,all-pics/Aaron_Pena_0001.jpg,0
5,all-pics/Aaron_Sorkin_0001.jpg,all-pics/Aaron_Sorkin_0002.jpg,1
6,all-pics/Aaron_Tippin_0001.jpg,all-pics/Abba_Eban_0001.jpg,0
7,all-pics/Abbas_Kiarostami_0001.jpg,all-pics/Abdel_Aziz_Al-Hakim_0001.jpg,0
8,all-pics/Abdel_Madi_Shabneh_0001.jpg,all-pics/Abdel_Nasser_Assidi_0001.jpg,0
9,all-pics/Abdel_Nasser_Assidi_0002.jpg,all-pics/Abdoulaye_Wade_0001.jpg,0
10,all-pics/Abdoulaye_Wade_0002.jpg,all-pics/Abdoulaye_Wade_0003.jpg,1
11,all-pics/Abdoulaye_Wade_0004.jpg,all-pics/Abdul_Majeed_Shobokshi_0001.jpg,0
12,all-pics/Abdul_Rahman_0001.jpg,all-pics/Abdulaziz_Kamilov_0001.jpg,0
13,all-pics/Abdullah_0001.jpg,all-pics/Abdullah_0002.jpg,1
14,all-pics/Abdullah_0003.jpg,all-pics/Abdullah_0004.jpg,1
15,all-pics/Abdullah_Ahmad_Badawi_0001.jpg,all-pics/Abdullah_Gul_0001.jpg,0
16,all-pics/Abdullah_Gul_0002.jpg,all-pics/Abdullah_Gul_0003.jpg,1
17,all-pics/Abdullah_Gul_0004.jpg,all-pics/Abdullah_Gul_0005.jpg,1
18,all-pics/Abdullah_Gul_0006.jpg,all-pics/Abdullah_Gul_0007.jpg,1
19,all-pics/Abdullah_Gul_0008.jpg,all-pics/Abdullah_Gul_0009.jpg,1
20,all-pics/Abdullah_Gul_0010.jpg,all-pics/Abdullah_Gul_0011.jpg,1
21,all-pics/Abdullah_Gul_0012.jpg,all-pics/Abdullah_Gul_0013.jpg,1
22,all-pics/Abdullah_Gul_0014.jpg,all-pics/Abdullah_Gul_0015.jpg,1
23,all-pics/Abdullah_Gul_0016.jpg,all-pics/Abdullah_Gul_0017.jpg,1
24,all-pics/Abdullah_Gul_0018.jpg,all-pics/Abdullah_Gul_0019.jpg,1
25,all-pics/Abdullah_Nasseef_0001.jpg,all-pics/Abdullah_al-Attiyah_0001.jpg,0
26,all-pics/Abdullah_al-Attiyah_0002.jpg,all-pics/Abdullah_al-Attiyah_0003.jpg,1
27,all-pics/Abdullatif_Sener_0001.jpg,all-pics/Abdullatif_Sener_0002.jpg,1
28,all-pics/Abel_Aguilar_0001.jpg,all-pics/Abel_Pacheco_0001.jpg,0
29,all-pics/Abel_Pacheco_0002.jpg,all-pics/Abel_Pacheco_0003.jpg,1
30,all-pics/Abel_Pacheco_0004.jpg,all-pics/Abid_Hamid_Mahmud_Al-Tikriti_0001.jpg,0
31,all-pics/Abid_Hamid_Mahmud_Al-Tikriti_0002.jpg,all-pics/Abid_Hamid_Mahmud_Al-Tikriti_0003.jpg,1
32,all-pics/Abner_Martinez_0001.jpg,all-pics/Abraham_Foxman_0001.jpg,0
33,all-pics/Aby_Har-Even_0001.jpg,all-pics/Adam_Ant_0001.jpg,0
34,all-pics/Adam_Freier_0001.jpg,all-pics/Adam_Herbert_0001.jpg,0
35,all-pics/Adam_Kennedy_0001.jpg,all-pics/Adam_Mair_0001.jpg,0
36,all-pics/Adam_Rich_0001.jpg,all-pics/Adam_Sandler_0001.jpg,0
37,all-pics/Adam_Sandler_0002.jpg,all-pics/Adam_Sandler_0003.jpg,1
38,all-pics/Adam_Sandler_0004.jpg,all-pics/Adam_Scott_0001.jpg,0
39,all-pics/Adam_Scott_0002.jpg,all-pics/Adel_Al-Jubeir_0001.jpg,0
40,all-pics/Adel_Al-Jubeir_0002.jpg,all-pics/Adel_Al-Jubeir_0003.jpg,1
41,all-pics/Adelina_Avila_0001.jpg,all-pics/Adisai_Bodharamik_0001.jpg,0
42,all-pics/Adolfo_Aguilar_Zinser_0001.jpg,all-pics/Adolfo_Aguilar_Zinser_0002.jpg,1
43,all-pics/Adolfo_Aguilar_Zinser_0003.jpg,all-pics/Adolfo_Rodriguez_Saa_0001.jpg,0
44,all-pics/Adolfo_Rodriguez_Saa_0002.jpg,all-pics/Adoor_Gopalakarishnan_0001.jpg,0
45,all-pics/Adrian_Annus_0001.jpg,all-pics/Adrian_Fernandez_0001.jpg,0
46,all-pics/Adrian_McPherson_0001.jpg,all-pics/Adrian_McPherson_0002.jpg,1
47,all-pics/Adrian_Murrell_0001.jpg,all-pics/Adrian_Nastase_0001.jpg,0
48,all-pics/Adrian_Nastase_0002.jpg,all-pics/Adriana_Lima_0001.jpg,0
49,all-pics/Adriana_Perez_Navarro_0001.jpg,all-pics/Adrianna_Zuzic_0001.jpg,0
50,all-pics/Adrien_Brody_0001.jpg,all-pics/Adrien_Brody_0002.jpg,1
51,all-pics/Adrien_Brody_0003.jpg,all-pics/Adrien_Brody_0004.jpg,1
52,all-pics/Adrien_Brody_0005.jpg,all-pics/Adrien_Brody_0006.jpg,1
53,all-pics/Adrien_Brody_0007.jpg,all-pics/Adrien_Brody_0008.jpg,1
54,all-pics/Adrien_Brody_0009.jpg,all-pics/Adrien_Brody_0010.jpg,1
55,all-pics/Adrien_Brody_0011.jpg,all-pics/Adrien_Brody_0012.jpg,1
56,all-pics/Afton_Smith_0001.jpg,all-pics/Agbani_Darego_0001.jpg,0
57,all-pics/Agnelo_Queiroz_0001.jpg,all-pics/Agnes_Bruckner_0001.jpg,0
58,all-pics/Ahmad_Jbarah_0001.jpg,all-pics/Ahmad_Masood_0001.jpg,0
